gene_id	chr_id	transcript_length	gene_group	description	GO-labels
Ec-02_002070	chr_02	2566		EsV-1-7 domain protein	NA
Ec-02_002080	chr_02	2133	GBG-sporophyte	hypothetical protein	   
Ec-02_002090	chr_02	5367		EDG-8 sphingosine 1-phosphate receptor	GO:0007186,GO:0016021,GO:0038036
Ec-02_002100	chr_02	138		hypothetical protein	   
Ec-02_002110	chr_02	4382		hypothetical protein	   
Ec-02_002150	chr_02	1042		hypothetical protein	   
Ec-02_002160	chr_02	495		FNIP	   
Ec-02_002170	chr_02	3144		Serine incorporator/TMS membrane protein	GO:0016020
Ec-02_002190	chr_02	2564		C2 domain	GO:0005515
Ec-02_002200	chr_02	1182		FNIP	   
Ec-02_002210	chr_02	1307		expressed unknown protein	   
Ec-02_002220	chr_02	3180		P-loop containing nucleoside triphosphate hydrolase	   
Ec-02_002230	chr_02	1501		Hypothetical protein	   
Ec-02_002240	chr_02	2595		conserved unknown protein	   
Ec-02_002260	chr_02	537		Hypothetical protein	   
Ec-02_002270	chr_02	2924		Cysteinyl-tRNA Synthetase	GO:0000166,GO:0004817,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006423
Ec-02_002280	chr_02	2852		Dynamitin	GO:0005869,GO:0007017,GO:0007067
Ec-02_002290	chr_02	936		Hypothetical protein	   
Ec-02_002300	chr_02	1165		Six-bladed beta-propeller TolB-like	   
Ec-02_002310	chr_02	6018		Helicase domain	   
Ec-02_002320	chr_02	5208		AP2/ERF domain	GO:0003700,GO:0006355
Ec-02_002330	chr_02	2018		Restriction endonuclease  type II-like	   
Ec-02_002340	chr_02	1340		P-loop containing nucleoside triphosphate hydrolase	   
Ec-02_002400	chr_02	1595		Protein strawberry notch	GO:0006355
Ec-02_002430	chr_02	2719		Digalactosyldiacylglycerol synthase family GT4	NA
Ec-02_002440	chr_02	516		hypothetical protein	   
Ec-02_002450	chr_02	2993		C2 domain	GO:0005515
Ec-02_002460	chr_02	659		Hypothetical protein	   
Ec-02_002470	chr_02	5500		WD40 repeat	GO:0005515
Ec-02_002490	chr_02	499		Hypothetical protein	   
Ec-02_002500	chr_02	2075		Hypothetical protein	   
Ec-02_002510	chr_02	823		hypothetical protein	   
Ec-02_002520	chr_02	3415		senescence-associated putative protein	GO:0008270
Ec-02_002530	chr_02	2056		peptidyl-Asp metallopeptidase. metallo peptidase. MEROPS family M72	   
Ec-02_002540	chr_02	159		Hypothetical protein	   
Ec-02_002550	chr_02	162		hypothetical protein	   
Ec-02_002560	chr_02	3702		Hypothetical leucine rich repeat protein	GO:0005515
Ec-02_002570	chr_02	2493		conserved unknown protein	   
Ec-02_002580	chr_02	1948		Hypothetical protein	   
Ec-02_002590	chr_02	907		conserved unknown protein	   
Ec-02_002600	chr_02	2266	GBG-gametophyte	expressed unknown protein	   
Ec-02_002610	chr_02	1852		Hypothetical protein	   
Ec-02_002620	chr_02	822		Hypothetical protein	   
Ec-02_002630	chr_02	1305		Hypothetical protein	   
Ec-02_002640	chr_02	3881	GBG-gametophyte	hypothetical protein	   
Ec-02_002650	chr_02	3818	GBG-sporophyte	expressed unknown protein	   
Ec-02_002660	chr_02	2097	GBG-sporophyte	expressed unknown protein	   
Ec-02_002670	chr_02	4286		expressed unknown protein	   
Ec-02_002680	chr_02	666		Hypothetical protein	   
Ec-02_002690	chr_02	243		Ankyrin repeat-containing domain	   
Ec-02_002700	chr_02	5203		Major facilitator superfamily domain	   
Ec-02_002710	chr_02	2292	GBG-gametophyte	expressed unknown protein	   
Ec-02_002720	chr_02	1479		conserved unknown protein	   
Ec-02_002730	chr_02	6068		hypothetical protein	   
Ec-02_002740	chr_02	2338		RNA recognition motif domain	GO:0003676
Ec-02_002750	chr_02	6961		expressed unknown protein	   
Ec-02_002760	chr_02	729		expressed unknown protein	   
Ec-02_002770	chr_02	3386	GBG-gametophyte	Hypothetical protein	   
Ec-02_002780	chr_02	2195		F-box domain	GO:0005515
Ec-02_002790	chr_02	5207		Phosphatidylinositol-4-phosphate 5-kinase	GO:0016307,GO:0046488
Ec-02_002800	chr_02	643	GBG-sporophyte	Hypothetical protein	   
Ec-02_002810	chr_02	698	GBG-sporophyte	Hypothetical protein	   
Ec-02_002820	chr_02	1834		Probable tubulin polyglutamylase TTLL9	GO:0004835,GO:0006464
Ec-02_002830	chr_02	611		hypothetical protein	   
Ec-02_002840	chr_02	1211		conserved unknown protein	   
Ec-02_002850	chr_02	2676		Sterol or diacylglycerol O-acyltransferase partial	NA
Ec-02_002860	chr_02	1528		Hypothetical protein	   
Ec-02_002870	chr_02	2336		expressed unknown protein	   
Ec-02_002880	chr_02	2139		Hypothetical leucine rich repeat protein	NA
Ec-02_002900	chr_02	2349	GBG-gametophyte	Peptidase C19 ubiquitin-specific peptidase DUSP domain	GO:0004843
Ec-02_002910	chr_02	789		Peptidase C19 ubiquitin-specific peptidase DUSP domain	GO:0004843
Ec-02_002920	chr_02	900	GBG-gametophyte	Peptidase C19 ubiquitin-specific peptidase DUSP domain	GO:0004843
Ec-02_002930	chr_02	555		Unsaturated glucuronyl hydrolase family GH88	GO:0003824
Ec-02_002940	chr_02	4453		Alpha-ketoglutarate-dependent dioxygenase FTO catalytic domain	   
Ec-02_002950	chr_02	506		Hypothetical protein	   
Ec-02_002960	chr_02	2882	GBG-gametophyte	hypothetical protein	   
Ec-02_002970	chr_02	2985	SBG-female,GBG-gametophyte	Glycosyl hydrolase family 88	GO:0003824
Ec-02_002980	chr_02	5316	SBG-male	Glycosyl hydrolase family 88	GO:0003824
Ec-02_003000	chr_02	2589	GBG-gametophyte	Unsaturated glucuronyl hydrolase family GH88	GO:0003824
Ec-02_003010	chr_02	392		Hypothetical protein	   
Ec-02_003020	chr_02	387		Hypothetical protein	   
Ec-02_003030	chr_02	567		hypothetical protein	   
Ec-02_003040	chr_02	3469		JAB1/MPN/MOV34 metalloenzyme domain	GO:0005515
Ec-02_003050	chr_02	1895		Transport protein particle component (TRAPP)/ SPP30-like 	NA
Ec-02_003060	chr_02	2750		Diacylglycerol O-acyltransferase	   
Ec-02_003070	chr_02	390		Hypothetical protein	   
Ec-02_003080	chr_02	2480		Hypothetical protein	   
Ec-02_003090	chr_02	6987		expressed unknown protein	   
Ec-02_003100	chr_02	3512		Lactate/malate dehydrogenase C-terminal	GO:0016616,GO:0055114
Ec-02_003110	chr_02	3060		sterol or diacylglycerol O-acyltransferase	GO:0006508,GO:0008237,GO:0008270
Ec-02_003120	chr_02	2513		S15/NS1 RNA-binding	GO:0003735,GO:0005840,GO:0006412 
Ec-02_003130	chr_02	1874	GBG-sporophyte	FUN14	   
Ec-02_003140	chr_02	6251		hypothetical protein	   
Ec-02_003150	chr_02	2472		Protein kinase	GO:0005524,GO:0004672,GO:0006468
Ec-02_003160	chr_02	2997		Hypothetical leucine rich repeat protein	GO:0005515
Ec-02_003170	chr_02	5895		Haem peroxidase animal	GO:0004601,GO:0006979,GO:0020037,GO:0055114 
Ec-02_003180	chr_02	1421		Hypothetical protein	   
Ec-02_003190	chr_02	1799		HotDog domain	GO:0008152,GO:0016491
Ec-02_003200	chr_02	2184		Endonuclease/exonuclease/phosphatase	   
Ec-02_003210	chr_02	4082		Zinc finger RING/FYVE/PHD-type	GO:0005515,GO:0008270
Ec-02_003270	chr_02	4365	GBG-gametophyte	AAA+ ATPase domain	GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0042626
Ec-02_003280	chr_02	4555		SAP domain	GO:0003676,GO:0005622,GO:0006139,GO:0008408
Ec-02_003290	chr_02	539		conserved unknown protein	   
Ec-02_003300	chr_02	1443		Growth arrest-specific protein 8	GO:0031514,GO:0048870
Ec-02_003310	chr_02	1663		conserved unknown protein	   
Ec-02_003320	chr_02	2251		expressed unknown protein	   
Ec-02_003330	chr_02	1368		Molybdenum cofactor sulfurase C-terminal	GO:0003824,GO:0030151,GO:0030170
Ec-02_003340	chr_02	1048		Ubiquinone biosynthesis O-methyltransferase	GO:0006744,GO:0008425
Ec-02_003350	chr_02	3789		Short-chain dehydrogenase/reductase SDR	GO:0008152,GO:0016491
Ec-02_003360	chr_02	2963		CRAL-TRIO domain	   
Ec-02_003370	chr_02	2677		Zinc finger FYVE/PHD-type	GO:0005488,GO:0008270
Ec-02_003380	chr_02	1987		EF-hand domain pair	GO:0005509
Ec-02_003390	chr_02	2727		conserved unknown protein	   
Ec-02_003400	chr_02	2189		Light harvesting complex protein	GO:0009765,GO:0016020
Ec-02_003410	chr_02	3053		ATPase AAA-type core	GO:0005524
Ec-02_003420	chr_02	5996		SNF2-related domain-containing protein	GO:0003677,GO:0005524
Ec-02_003430	chr_02	318		Hypothetical protein	   
Ec-02_003440	chr_02	1509		Nucleophile aminohydrolases N-terminal	GO:0004298,GO:0005839,GO:0006511,GO:0051603
Ec-02_003450	chr_02	2735		Kinetochore protein Nuf2	GO:0000775,GO:0007067
Ec-02_003460	chr_02	8189		WD40 repeat	GO:0005515
Ec-02_003470	chr_02	2785		Hypothetical protein	   
Ec-02_003480	chr_02	881	GBG-gametophyte	Hypothetical protein	   
Ec-02_003490	chr_02	4411		Myosin head motor domain	GO:0003774,GO:0005524,GO:0016459
Ec-02_003500	chr_02	381		Protein kinase-like domain	GO:0016772
Ec-02_003510	chr_02	2574		Carbohydrate kinase PfkB	   
Ec-02_003520	chr_02	1478		HotDog domain	   
Ec-02_003530	chr_02	4684	GBG-gametophyte	EsV-1-166	   
Ec-02_003540	chr_02	571		Hypothetical protein	   
Ec-02_003550	chr_02	1887		hypothetical protein	   
Ec-02_003560	chr_02	3177		conserved unknown protein	   
Ec-02_003570	chr_02	1532		hypothetical tRNA/rRNA methyltransferase	GO:0003723,GO:0006396,GO:0008173
Ec-02_003580	chr_02	2872	SBG-male,GBG-sporophyte	WD40-repeat-containing domain	GO:0005515
Ec-02_003590	chr_02	2440	SBG-male	hypothetical protein	   
Ec-02_003600	chr_02	2878		PAS domain	GO:0004871,GO:0007165
Ec-02_003610	chr_02	2577		Phasmid Socket Absent family member (psa-1)	   
Ec-02_003620	chr_02	2781		SWIRM domain protein	GO:0005515
Ec-02_003630	chr_02	4388		conserved unknown protein	   
Ec-02_003640	chr_02	2958		Uncharacterised protein family UPF0047	   
Ec-02_003650	chr_02	1560		Ribosomal L11 methyltransferase PrmA	GO:0005737,GO:0006479,GO:0008276
Ec-02_003660	chr_02	4895		Alpha/Beta hydrolase fold	   
Ec-02_003670	chr_02	4300		Tetratricopeptide-like helical domain	GO:0005515
Ec-02_003680	chr_02	5698		expressed unknown protein	GO:0005525,GO:0005874,GO:0007017
Ec-02_003690	chr_02	3225		LRR-GTPase of the ROCO family putative pseudogene	GO:0005622,GO:0005525,GO:0007264
Ec-02_003700	chr_02	462		Hypothetical leucine rich repeat protein.	GO:0005515
Ec-02_003710	chr_02	2079		Zinc finger FYVE/PHD-type	GO:0008270
Ec-02_003720	chr_02	966		hypothetical protein	   
Ec-02_003730	chr_02	2778		hypothetical protein	GO:0003700,GO:0005634,GO:0006355,GO:0008270
Ec-02_003740	chr_02	1746		Thioredoxin-like fold	   
Ec-02_003750	chr_02	3810		Serine/threonine/dual specificity protein kinase catalytic  domain	GO:0004672,GO:0005524,GO:0006468
Ec-02_003760	chr_02	837		Ankyrin repeat-containing domain	   
Ec-02_003770	chr_02	3284		expressed unknown protein	   
Ec-02_003780	chr_02	1084		Alpha/Beta hydrolase fold	   
Ec-02_003790	chr_02	1224		hypothetical protein	   
Ec-02_003800	chr_02	4812		hypothetical protein	GO:0016787
Ec-02_003810	chr_02	981		hypothetical protein	   
Ec-02_003830	chr_02	351		Hypothetical protein	   
Ec-02_003840	chr_02	2075		Mitochondrial substrate/solute carrier	GO:0005488,GO:0006810,GO:0016020
Ec-02_003850	chr_02	3729		GRAM domain	   
Ec-02_003860	chr_02	1740	GBG-gametophyte	imm upregulated 3	NA
Ec-02_003870	chr_02	3559		Ankyrin repeat-containing domain	   
Ec-02_003880	chr_02	4066		Pleckstrin homology domain	   
Ec-02_003890	chr_02	1020		expressed unknown protein	   
Ec-02_003900	chr_02	2094		Nuclear pore localisation protein NPL4	   
Ec-02_003910	chr_02	1768		GAF domain-like	   
Ec-02_003920	chr_02	943		putative transmembrane protein	GO:0016021
Ec-02_003930	chr_02	4211		EF-hand domain pair	GO:0004672,GO:0005524,GO:0006468
Ec-02_003940	chr_02	5090	SBG-male,GBG-sporophyte	Kinesin motor domain	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Ec-02_003950	chr_02	10096		plectin isoform 1	GO:0006118,GO:0016491
Ec-02_003960	chr_02	1311		hypothetical protein	   
Ec-02_003970	chr_02	287		Hypothetical protein	   
Ec-02_003980	chr_02	4030		Phox homologous domain	GO:0035091
Ec-02_003990	chr_02	1479		Hypothetical protein	   
Ec-02_004000	chr_02	665		Hypothetical protein	   
Ec-02_004010	chr_02	3388		Heat shock protein 40 like protein/ DnaJ domain containing protein	NA
Ec-02_004030	chr_02	2724		hypothetical protein	   
Ec-02_004040	chr_02	637	GBG-sporophyte	Hypothetical protein	   
Ec-02_004050	chr_02	2249		Mitochondrial protein import TIM9.10 complex subunit Tim10 homolog	GO:0042719,GO:0006626,GO:0045039
Ec-02_004060	chr_02	4201		Major facilitator superfamily domain	GO:0003676,GO:0008168,GO:0032259
Ec-02_004070	chr_02	1671		hypothetical protein	   
Ec-02_004080	chr_02	3726		Xylosyltransferase family GT14	GO:0008375,GO:0016020
Ec-02_004090	chr_02	2564		Translation protein beta-barrel domain	   
Ec-02_004100	chr_02	1625		COP9 signalosome subunit CSN8	   
Ec-02_004110	chr_02	4389		expressed unknown protein	   
Ec-02_004120	chr_02	3078		hypothetical protein	   
Ec-02_004130	chr_02	3144		Triose-phosphate transporter domain	   
Ec-02_004140	chr_02	1065		Hypothetical protein	   
Ec-02_004150	chr_02	2920		ABC membrane transporter	GO:0006810,GO:0005524,GO:0042626,GO:0016021,GO:0016887
Ec-02_004160	chr_02	1953		ABC transporters	GO:0005524,GO:0016887
Ec-02_004170	chr_02	2169		Hypothetical protein	   
Ec-02_004180	chr_02	2295	GBG-sporophyte	Uncharacterised protein family Cys-rich	   
Ec-02_004190	chr_02	963		Hypothetical protein	   
Ec-02_004200	chr_02	1780		Zinc finger C3HC4 RING-type	GO:0046872
Ec-02_004210	chr_02	2047		Thioredoxin domain	GO:0045454
Ec-02_004220	chr_02	762		Thioredoxin-like fold	GO:0045454 
Ec-02_004230	chr_02	1438		Hypothetical protein	   
Ec-02_004240	chr_02	1053		hypothetical protein	   
Ec-02_004250	chr_02	2630		Phox homologous domain	GO:0035091
Ec-02_004260	chr_02	2649		POLO box duplicated domain	GO:0005515
Ec-02_004270	chr_02	780		expressed unknown protein	   
Ec-02_004280	chr_02	1738		conserved unknown protein	   
Ec-02_004290	chr_02	3380		Triose-phosphate transporter domain	   
Ec-02_004300	chr_02	2925		SPX N-terminal	   
Ec-02_004310	chr_02	323		Hypothetical protein	   
Ec-02_004320	chr_02	1329		hypothetical protein	   
Ec-02_004330	chr_02	2173		Sulfite reductase	GO:0055114,GO:0016491
Ec-02_004340	chr_02	1380		Sulfite reductase	GO:0055114,GO:0016491
Ec-02_004350	chr_02	980		BTB/POZ-like	GO:0005515
Ec-02_004360	chr_02	5046		hypothetical protein	   
Ec-02_004370	chr_02	2583		Anthranilate Synthase	GO:0003824,GO:0004049,GO:0005950,GO:0009058
Ec-02_004380	chr_02	393		Peptidase C19 ubiquitin carboxyl-terminal hydrolase	GO:0006511,GO:0036459
Ec-02_004390	chr_02	4587		Kinesin motor domain	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Ec-02_004400	chr_02	606		Transmembrane protein C5orf28-like	   
Ec-02_004410	chr_02	1260		expressed unknown protein	   
Ec-02_004420	chr_02	6000		hypothetical protein	GO:0016765
Ec-02_004430	chr_02	804		expressed unknown protein	   
Ec-02_004440	chr_02	5736		expressed unknown protein	   
Ec-02_004450	chr_02	1406		Amidohydrolase 2	GO:0003824,GO:0008152
Ec-02_004460	chr_02	126		expressed unknown protein	   
Ec-02_004470	chr_02	534	GBG-gametophyte	hypothetical protein	   
Ec-02_004480	chr_02	1887	GBG-gametophyte	conserved unknown protein	   
Ec-02_004490	chr_02	399		EsV-1-164. Alternative transcript of Esi0024_0022.	NA
Ec-02_004500	chr_02	921		Pectin lyase fold/virulence factor	NA
Ec-02_004510	chr_02	426		Hypothetical protein	   
Ec-02_004520	chr_02	1541		Major facilitator superfamily domain	   
Ec-02_004530	chr_02	250		Major facilitator superfamily domain	   
Ec-02_004540	chr_02	255		Hypothetical protein	   
Ec-02_004550	chr_02	1914		S-adenosyl-L-methionine-dependent methyltransferase	GO:0008152,GO:0008168
Ec-02_004560	chr_02	5770		WW domain	GO:0005515
Ec-02_004570	chr_02	3791		conserved unknown protein	   
Ec-02_004580	chr_02	2917		Type III Polyketide Synthase (phloroglucinol synthase)	GO:0008415,GO:0008152,GO:0003824
Ec-02_004590	chr_02	2217	GBG-sporophyte	expressed unknown protein	   
Ec-02_004600	chr_02	774		hypothetical protein	   
Ec-02_004610	chr_02	954		Hypothetical protein	   
Ec-02_004620	chr_02	2106		expressed unknown protein	   
Ec-02_004630	chr_02	1142		Hypothetical protein	   
Ec-02_004640	chr_02	3246		Hypothetical protein	   
Ec-02_004650	chr_02	1326		hypothetical protein	   
Ec-02_004660	chr_02	3516		zeta-carotene desaturase chloroplast precursor	GO:0016117,GO:0016719,GO:0055114
Ec-02_004670	chr_02	1002		Protein kinase	GO:0016772
Ec-02_004680	chr_02	1840		Leucine-rich repeat typical subtype	GO:0005515
Ec-02_004690	chr_02	3900	GBG-gametophyte	WSC domain protein	NA
Ec-02_004700	chr_02	1834		asn/thr-rich large protein family protein	NA
Ec-02_004720	chr_02	837		hypothetical protein	   
Ec-02_004730	chr_02	2812		Fcf2 pre-rRNA processing	   
Ec-02_004740	chr_02	3240		Translin	GO:0043565
Ec-02_004750	chr_02	3247		Protein kinase domain	GO:0004672,GO:0005524,GO:0006468
Ec-02_004760	chr_02	3399		Major facilitator superfamily domain	   
Ec-02_004770	chr_02	1934		Protein of unknown function DUF2196	   
Ec-02_004780	chr_02	2241		PAS domain	GO:0004871,GO:0007165
Ec-02_004790	chr_02	6820		hypothetical protein	GO:0016491,GO:0055114
Ec-02_004800	chr_02	1688		ATPase AAA-type core	GO:0005524
Ec-02_004810	chr_02	4076		expressed unknown protein	   
Ec-02_004820	chr_02	3880	SBG-male	SAP domain	   
Ec-02_004830	chr_02	1982		Inner centromere protein ARK-binding domain	   
Ec-02_004840	chr_02	1452		Hypothetical protein	   
Ec-02_004850	chr_02	1566		hypothetical protein	   
Ec-02_004860	chr_02	885		Tetratricopeptide-like helical domain	GO:0005515
Ec-02_004870	chr_02	1841		Peptidase C14 caspase domain	GO:0004197,GO:0006508
Ec-02_004880	chr_02	2401		FAR1 DNA binding domain	   
Ec-02_004890	chr_02	1593		P-loop containing nucleoside triphosphate hydrolase	GO:0004140,GO:0005524,GO:0015937 
Ec-02_004900	chr_02	4683		Immunoglobulin E-set	   
Ec-02_004910	chr_02	5016	GBG-gametophyte	Adenylyl cyclase class-3/4/guanylyl cyclase	GO:0009190,GO:0016849,GO:0035556
Ec-02_004920	chr_02	3436		Peptidase C19 ubiquitin carboxyl-terminal hydrolase	GO:0006511,GO:0036459
Ec-02_004930	chr_02	4338		tRNA-i(6)A37 thiotransferase enzyme MiaB	NA
Ec-02_004940	chr_02	1867		P-loop containing nucleoside triphosphate hydrolase	GO:0003677,GO:0005524
Ec-02_004950	chr_02	3551		Bromodomain	GO:0005515
Ec-02_004960	chr_02	1873		6-Phosphogluconolactonase	GO:0006098,GO:0017057
Ec-02_004970	chr_02	2269		conserved unknown protein	   
Ec-02_004980	chr_02	3050		Snf7 family	GO:0007034
Ec-02_004990	chr_02	3237		Ubiquitin-like	GO:0005515
Ec-02_005010	chr_02	1467		Photosystem II Pbs27	GO:0010207
Ec-02_005020	chr_02	799		conserved unknown protein	   
Ec-02_005030	chr_02	603		Endonuclease/exonuclease/phosphatase	   
Ec-02_005040	chr_02	1279		Protein of unknown function DUF3326	GO:0015078,GO:0015986,GO:0016469,GO:0016820,GO:0033178
Ec-02_005050	chr_02	183		conserved unknown protein	   
Ec-02_005060	chr_02	1014		expressed unknown protein	   
Ec-02_005070	chr_02	1344		hypothetical protein	   
Ec-02_005080	chr_02	4564	GBG-gametophyte	Insulin-induced protein family	   
Ec-02_005090	chr_02	1944		P-loop containing nucleoside triphosphate hydrolase	GO:0008146
Ec-02_005100	chr_02	7909	SBG-male	hypothetical protein	GO:0005509
Ec-02_005110	chr_02	2055		conserved unknown protein	   
Ec-02_005120	chr_02	1772		Cyclophilin-like domain	GO:0003755,GO:0006457
Ec-02_005130	chr_02	234		putative methylated-DNA--protein-cysteine methyltransferase	GO:0003824,GO:0006281
Ec-02_005140	chr_02	2809		Phox homologous domain	GO:0035091
Ec-02_005150	chr_02	3725		Leucine rich repeat protein	GO:0005515
Ec-02_005160	chr_02	1619		RGS domain	GO:0038032
Ec-02_005170	chr_02	5621		Helicase C-terminal	   
Ec-02_005180	chr_02	1193		Hypothetical protein	   
Ec-02_005190	chr_02	2926		Class II glutamine amidotransferase domain	GO:0008152
Ec-02_005200	chr_02	3502		expressed unknown protein	   
Ec-02_005210	chr_02	1022	GBG-sporophyte	Hypothetical protein	   
Ec-02_005220	chr_02	2450		conserved unknown protein	GO:0005529
Ec-02_005230	chr_02	2903		expressed unknown protein	   
Ec-02_005240	chr_02	1748	GBG-gametophyte	hypothetical protein	GO:0005622,GO:0008270 
Ec-02_005250	chr_02	5847		Armadillo-type fold	GO:0005488
Ec-02_005260	chr_02	588	SBG-female	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	   
Ec-02_005270	chr_02	2408		Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	   
Ec-02_005280	chr_02	2855		Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	   
Ec-02_005290	chr_02	1365	SBG-female	PUB domain	   
Ec-02_005300	chr_02	1024		P-loop containing nucleoside triphosphate hydrolase	GO:0005524,GO:0019201
Ec-02_005310	chr_02	2497		DNA binding domain putative	GO:0003723,GO:0004826,GO:0006412
Ec-02_005320	chr_02	4075		Mgm1 homolog dynamin-related GTPase	GO:0005525
Ec-02_005330	chr_02	2440		Pyridine nucleotide-disulphide oxidoreductase NAD-binding domain	GO:0016491,GO:0050660,GO:0055114
Ec-02_005340	chr_02	4265		SAP domain	GO:0004518,GO:0006281
Ec-02_005350	chr_02	4566		expressed unknown protein	   
Ec-02_005360	chr_02	2844		aspartic protease PM5 	GO:0004190,GO:0006508
Ec-02_005380	chr_02	1953		PITH domain	   
Ec-02_005390	chr_02	1193		Ribosomal protein L19/L19e domain	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Ec-02_005400	chr_02	903		Gamma-secretase subunit Aph-1	GO:0016021,GO:0016485,GO:0043085
Ec-02_005410	chr_02	2656		Forkhead-associated (FHA) domain	GO:0005515
Ec-02_005420	chr_02	2060		Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	   
Ec-02_005430	chr_02	3378		expressed unknown protein	   
Ec-02_005440	chr_02	1050		hypothetical protein	   
Ec-02_005450	chr_02	4946		Rab-GTPase-TBC domain	GO:0005097,GO:0032313
Ec-02_005460	chr_02	2397	SBG-male	MORN domain repeat containing protein	   
Ec-02_005470	chr_02	3041		hypothetical protein	   
Ec-02_005480	chr_02	1816		hypothetical protein	   
Ec-02_005490	chr_02	2802		Linker histone H1/H5 domain H15	GO:0000786,GO:0003677,GO:0005634,GO:0006334
Ec-02_005500	chr_02	1333		S-adenosyl-L-methionine-dependent methyltransferase	GO:0008152,GO:0008168
Ec-02_005510	chr_02	2966		Lycopene cyclase	GO:0016705,GO:0045436,GO:0016117
Ec-02_005520	chr_02	1204		hypothetical protein	   
Ec-02_005530	chr_02	1000		expressed unknown protein	   
Ec-02_005540	chr_02	1199		Ribosomal protein L32e	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Ec-02_005560	chr_02	2446		hypothetical protein	   
Ec-02_005570	chr_02	5056		Six-bladed beta-propeller TolB-like	   
Ec-02_005580	chr_02	1440		expressed unknown protein	   
Ec-02_005590	chr_02	2019		Zinc finger MYND-type	GO:0008270
Ec-02_005600	chr_02	1297		P-loop containing nucleoside triphosphate hydrolase	GO:0004765,GO:0005524
Ec-02_005610	chr_02	2899		Mpv17/PMP22	GO:0016021
Ec-02_005620	chr_02	1220		hypothetical protein	   
Ec-02_005630	chr_02	1735		BolA protein	   
Ec-02_005640	chr_02	2590		Amino acid/polyamine transporter I	GO:0003333,GO:0015171,GO:0016020
Ec-02_005650	chr_02	1690		EamA domain	GO:0016020,GO:0016021
Ec-02_005660	chr_02	2020		Sel1-like	   
Ec-02_005670	chr_02	3199		Inositol monophosphatase	GO:0046854
Ec-02_005680	chr_02	1507		Hypothetical protein	   
Ec-02_005690	chr_02	1032		Domain of unknown function DUF1736	   
Ec-02_005700	chr_02	1807		Tetratricopeptide-like helical domain	GO:0005515
Ec-02_005710	chr_02	1459		GTP cyclohydrolase II RibA	GO:0003935,GO:0009231
Ec-02_005720	chr_02	2089		expressed unknown protein	   
Ec-02_005730	chr_02	4332		P-loop containing nucleoside triphosphate hydrolase	GO:0000166,GO:0005524,GO:0017111
Ec-02_005740	chr_02	5327		EF-hand domain pair	   
Ec-02_005750	chr_02	2517		Peptidase C78 ubiquitin fold modifier-specific peptidase 1/ 2	   
Ec-02_005760	chr_02	1682		Hypothetical protein	   
Ec-02_005770	chr_02	6267		conserved unknown protein	GO:0005515
Ec-02_005780	chr_02	5752		hypothetical protein	   
Ec-02_005790	chr_02	3625		conserved unknown protein	   
Ec-02_005800	chr_02	2155		Folate-biopterin transporter	GO:0006810,GO:0016021
Ec-02_005810	chr_02	2311		conserved unknown protein	   
Ec-02_005820	chr_02	1270		P-loop containing nucleoside triphosphate hydrolase	GO:0005525,GO:0007264,GO:0015031
Ec-02_005830	chr_02	5432		Beta-propeller repeat	   
Ec-02_005840	chr_02	3493		HD/PDEase domain	GO:0003824
Ec-02_005850	chr_02	4476		Myosin head motor domain	GO:0003774,GO:0005524,GO:0016459
Ec-02_005860	chr_02	903		Myosin head motor domain	GO:0003774,GO:0005524,GO:0016459
Ec-02_005870	chr_02	3772		Ribonuclease III	GO:0003723,GO:0004525,GO:0016075
Ec-02_005880	chr_02	1961		Peptidase S28	GO:0006508,GO:0008236
Ec-02_005890	chr_02	3123		hypothetical protein	   
Ec-02_005900	chr_02	3381		expressed unknown protein	   
Ec-02_005910	chr_02	3272		Amidase	GO:0016884
Ec-02_005920	chr_02	2319		G-protein gamma-like domain	GO:0004871,GO:0005834,GO:0007186
Ec-02_005930	chr_02	3380		Polyadenylate-binding protein/Hyperplastic disc protein	GO:0003723
Ec-02_005950	chr_02	9474		Protein kinase-like domain	GO:0016772
Ec-02_005960	chr_02	1645		Flavoprotein WrbA	GO:0010181,GO:0045892
Ec-02_005970	chr_02	2924		RNA recognition motif domain eukaryote	GO:0003676
Ec-02_005980	chr_02	6206	GBG-gametophyte	RNA-binding region-containing protein (RNP-1)	GO:0000166
Ec-02_005990	chr_02	1259		hypothetical protein	   
Ec-02_006000	chr_02	4895		Glycosyl transferase family 90 domain protein	NA
Ec-02_006010	chr_02	2142		NAD(P)-binding domain	   
Ec-02_006020	chr_02	1603		Short-chain dehydrogenase/reductase SDR	GO:0008152,GO:0016491
Ec-02_006030	chr_02	895		expressed unknown protein	   
Ec-02_006040	chr_02	174		Hypothetical protein	   
Ec-02_006060	chr_02	1851		SGNH hydrolase-type esterase domain	   
